//-----------------------------------------------------------
//            Counter-Strike
//-----------------------------------------------------------
// In this file you can modify the sound the textures give
// when the player walks on them
//
// Location: X:\halflife\valve\sound\materials.txt
//
// NOTE: only the first 12 characters of the texture name are used
// NOTE: a maximum of 512 textures may be tagged in this file
//
//  'M' metal
//  'V' ventillation
//  'D' dirt
//  'S' slosh liquid 
//  'T' tile
//  'G' grate (Concrete is the default)
//  'W' wood
//  'P' computer
//  'Y' glass
//  'N' snow
//  'X' grass

N snow
N A_Snow
N znow1

// AS_OILRIG

G TSBgVent
M TSCaution
M TSCprFlr
M TSCrteSd
M TSCrteTp
G TSFlrGrt
M TSHull2
M TSHull4
M TSHull7
M TSHull8
M TSHull9
M TSIBeam
G TSNoSkd
M TSOily
M TSPlainRed
D TSRfGrvl
G TSShutters
G TSVent

//-----------------------------------------------------------
// zunderground.wad
//-----------------------------------------------------------
D dust_sand
D ocarpet1
//-----------------------------------------------------------
// portals.wad
//-----------------------------------------------------------
M prt_met1
M prt_metwall8
M prt_metwall7
Y prt_glass1
M prt_metwall2
M prt_metwall6
M prt_metsqr
D crate_gunT02

//-----------------------------------------------------------
// bull3twad1.wad
//-----------------------------------------------------------
D tomb_ground1

//-----------------------------------------------------------
// zm_egyptian_btm.wad
//-----------------------------------------------------------
D  pk_softsand1


//-----------------------------------------------------------
// zhlt.wad
//-----------------------------------------------------------
V duct_vent64

//-----------------------------------------------------------
// labtest_tex.wad
//-----------------------------------------------------------
M lab1_w1a
M lab1_w1e
G {gratestep2a
M lab1_w4
M c3a2a_w1j
T c1a0_labflr
//-----------------------------------------------------------
// mptex.wad
//-----------------------------------------------------------
T mp_floor_tile4
M mp_metal2

//-----------------------------------------------------------
// aztec1.wad
//-----------------------------------------------------------
D pi_ground

//-----------------------------------------------------------
// ramassis2.wad
//-----------------------------------------------------------
M core_urban_062

//-----------------------------------------------------------
// mapmaking.wad
//-----------------------------------------------------------
T tnnl_flr6
T tnnl_flr6b
D twhl_carpet1
M lab1_gdpnl5
M twhl_mettrim
M lab1_panel1d
M c3a2a_brd1a
M c3a2a_brd1b
M generic64


//-----------------------------------------------------------
// mptex.wad
//-----------------------------------------------------------
M mp_door_gagage4
N mp_floor_snow2
T mp_floor_tile4

//-----------------------------------------------------------
// moab_compo27.wad
//-----------------------------------------------------------
G mod_labroof1a
G mod_labroof1b
M mod_celwall1a
M mod_celwall1b
M mod_metfloor1b
M mod_labtrim8a
M mod_metfloor1c
M mod_walldetail1
T mod_labcarpet1b
M mod_labwalla
M mod_metfloor1b
M mod_comwall1b
G mod_metfloor2b
M mod_door1
V mod_vents1b
V mod_vents1a
G grate2
M mod_metdoor1a
T tiles_lw
T tiles_lw2
M mod_mettrim4
D skla_office06
M skla_trim21
M skla_sup06
M elev2_dr_sp
G grate1
M ventcover1
M skla_trim23
M skla_door03
T flr_tile2_3

//-----------------------------------------------------------
// hd_textures.wad
//-----------------------------------------------------------
S {hd_eye1
S {hd_eye2
D hd_dirt_purple
D hd_ground_dirt
T dev_black6
T dev_black4
T hd_marblefloor4
D hd_sand_floor4
S hd_goo_blue
W hd_BnW_floor
T dev_wall_grey7
D hd_wall_purple
M hd_metal_floor3
M hd_pipe_brown
M hd_metal_floor2
X hq_nuke_winwall

//-----------------------------------------------------------
// megaaa2.wad
//-----------------------------------------------------------
D atl_rock01a
D summ_grass-fp4
D aliensand
D road_dirtwaste1
D smoe_grass2
T tiles9082
T subwaytiles
T grouttiles
T Marble_floor99
D waste_dirt1a
D {atl_net1b

//-----------------------------------------------------------
// great_assault.wad
//-----------------------------------------------------------
V ventshaft01c
D NORTHFLOORDIRT1
M metal_grate_tri
M grate_wall_02
T p_pol6
D K_grass9
M egir_iron03
M hype_door5a
T hofloor8small
M xan_chgrate1
M generic015m
X glass_bright
X glass_med
M lab1_trim3
V schacht_wand
M po_garagedoor
V duct_flr01ax
V duct_flr01
D cxgrounda
M mtl413

//-----------------------------------------------------------
// de_prodigy_2009.wad
//-----------------------------------------------------------
N db_snow02
N db_snow03
V prodventa
T tilefloor019a
M nuke_metaldoor_
M door_elev
M metalhull010b
M nukibeama
T nuke_ceiling
M metalroof005

//-----------------------------------------------------------
// poke646.wad
//-----------------------------------------------------------
M po_subtrindwl

//-----------------------------------------------------------
// megaaa.wad
//-----------------------------------------------------------
M tdk9_metal19
M tdk9_metal35
D tdk3_dirt01

//-----------------------------------------------------------
// dirughd.wad
//-----------------------------------------------------------
M trimmtlpage01

//-----------------------------------------------------------
// ljtextures.wad
//-----------------------------------------------------------
T lj_tiles1
T lj_tiles2
M lj_met_floor
D lj_plaster_wall
G {lj_wall_grate
G {lj_grate
M lj_met_wall3
M lj_met_wall2
G lj_met_trim2
G lj_met_trim1
M lj_met_garage
M lj_met_grate
M lj_met_wall1
M lj_met_pipe
D lj_grass
//-----------------------------------------------------------
// hq_textures.wad
//-----------------------------------------------------------
M hq_complex6
M hq_metal_rust
M hq_metal_rust2
W hq_wood_table
M hq_metal_floor
M hq_nuke_yel9
M hq_nuke_beige2
M hq_complex2
D hq_grass_dirt
M lj_met_trim3
G hq_metal_grate2
T hq_tile_floor_g
G hq_metal_grate2
G hq_met_floorhol
M hq_nuke_wall
M pi_grnmetal

//-----------------------------------------------------------
// chateau.wad
//-----------------------------------------------------------
W cxhalf8
W cxwoodf
W cxwoodl2
T cxhalf4
W cxwoodm
W cxdecwdc
W cxdrc
W cxdrd
W cxwoodb
W cxwllh
T cxhalf7
